datetime,snow
20170304 102100,7.33
20170304 102200,7.35
20170304 102300,7.37
20170304 102400,7.39
20170304 102500,7.41
20170304 102600,7.43
20170304 102700,7.46
20170304 102800,7.48
20170304 102900,7.51
20170304 103000,7.53
20170304 103100,7.55
20170304 103200,7.57
20170304 103300,7.59
20170304 103400,7.61
20170304 103500,7.63
20170304 103600,7.65
20170304 103700,7.67
20170304 103800,7.7
20170304 103900,7.73
20170304 104000,7.76
20170304 104100,7.78
20170304 104200,7.81
20170304 104300,7.84
20170304 104400,7.87
20170304 104500,7.9
20170304 104600,7.94
20170304 104700,7.97
20170304 104800,8.01
20170304 104900,8.05
20170304 105000,8.09
20170304 105100,8.12
20170304 105200,8.15
20170304 105300,8.19
20170304 105400,8.22
20170304 105500,8.25
20170304 105600,8.29
20170304 105700,8.32
20170304 105800,8.35
20170304 105900,8.39
20170304 110000,8.42
20170304 110100,8.45
20170304 110200,8.48
20170304 110300,8.52
20170304 110400,8.55
20170304 110500,8.59
20170304 110600,8.62
20170304 110700,8.65
20170304 110800,8.68
20170304 110900,8.7
20170304 111000,8.73
20170304 111100,8.76
20170304 111200,8.78
20170304 111300,8.79
20170304 111400,8.82
20170304 111500,8.84
20170304 111600,8.86
20170304 111700,8.88
20170304 111800,8.89
20170304 111900,8.91
20170304 112000,8.92
20170304 112100,8.94
20170304 112200,8.95
20170304 112300,8.96
20170304 112400,8.97
20170304 112500,8.97
20170304 112600,8.98
20170304 112700,8.99
20170304 112800,8.99
20170304 112900,9.0
20170304 113000,9.0
20170304 113100,9.0
20170304 113200,9.01
20170304 113300,9.01
20170304 113400,9.01
20170304 113500,9.02
20170304 113600,9.02
20170304 113700,9.03
20170304 113800,9.03
20170304 113900,9.04
20170304 114000,9.05
20170304 114100,9.06
20170304 114200,9.08
20170304 114300,9.1
20170304 114400,9.12
20170304 114500,9.14
20170304 114600,9.16
20170304 114700,9.18
20170304 114800,9.2
20170304 114900,9.22
20170304 115000,9.24
20170304 115100,9.25
20170304 115200,9.28
20170304 115300,9.3
20170304 115400,9.32
20170304 115500,9.34
20170304 115600,9.37
20170304 115700,9.4
20170304 115800,9.42
20170304 115900,9.44
20170304 120000,9.46
20170304 120100,9.47
20170304 120200,9.49
20170304 120300,9.51
20170304 120400,9.53
20170304 120500,9.54
20170304 120600,9.56
20170304 120700,9.57
20170304 120800,9.59
20170304 120900,9.61
20170304 121000,9.62
20170304 121100,9.64
20170304 121200,9.65
20170304 121300,9.67
20170304 121400,9.68
20170304 121500,9.7
20170304 121600,9.71
20170304 121700,9.72
20170304 121800,9.74
20170304 121900,9.75
20170304 122000,9.77
20170304 122100,9.78
20170304 122200,9.8
20170304 122300,9.81
20170304 122400,9.82
20170304 122500,9.83
20170304 122600,9.84
20170304 122700,9.86
20170304 122800,9.88
20170304 122900,9.89
20170304 123000,9.91
20170304 123100,9.93
20170304 123200,9.94
20170304 123300,9.94
20170304 123400,9.95
20170304 123500,9.96
20170304 123600,9.97
20170304 123700,9.98
20170304 123800,9.99
20170304 123900,10.0
20170304 124000,10.0
20170304 124100,10.01
20170304 124200,10.02
20170304 124300,10.03
20170304 124400,10.03
20170304 124500,10.04
20170304 124600,10.04
20170304 124700,10.05
20170304 124800,10.06
20170304 124900,10.06
20170304 125000,10.07
20170304 125100,10.07
20170304 125200,10.08
20170304 125300,10.09
20170304 125400,10.1
20170304 125500,10.1
20170304 125600,10.11
20170304 125700,10.11
20170304 125800,10.12
20170304 125900,10.13
20170304 130000,10.12
20170304 130100,10.13
20170304 130200,10.14
20170304 130300,10.14
20170304 130400,10.14
20170304 130500,10.15
20170304 130600,10.15
20170304 130700,10.15
20170304 130800,10.16
20170304 130900,10.17
20170304 131000,10.18
20170304 131100,10.18
20170304 131200,10.19
20170304 131300,10.19
20170304 131400,10.21
20170304 131500,10.2
20170304 131600,10.21
20170304 131700,10.22
20170304 131800,10.23
20170304 131900,10.24
20170304 132000,10.25
20170304 132100,10.26
20170304 132200,10.27
20170304 132300,10.27
20170304 132400,10.27
20170304 132500,10.28
20170304 132600,10.28
20170304 132700,10.28
20170304 132800,10.29
20170304 132900,10.29
20170304 133000,10.29
20170304 133100,10.29
20170304 133200,10.28
20170304 133300,10.28
20170304 133400,10.3
20170304 133500,10.28
20170304 133600,10.3
20170304 133700,10.29
20170304 133800,10.29
20170304 133900,10.28
20170304 134000,10.29
20170304 134100,10.29
20170304 134200,10.3
20170304 134300,10.29
20170304 134400,10.29
20170304 134500,10.3
20170304 134600,10.29
20170304 134700,10.29
20170304 134800,10.29
20170304 134900,10.3
20170304 135000,10.31
20170304 135100,10.32
20170304 135200,10.3
20170304 135300,10.3
20170304 135400,10.31
20170304 135500,10.3
20170304 135600,10.29
20170304 135700,10.29
20170304 135800,10.31
20170304 135900,10.3
20170304 140000,10.31
20170304 140100,10.3
20170304 140200,10.31
20170304 140300,10.31
20170304 140400,10.31
20170304 140500,10.32
20170304 140600,10.31
20170304 140700,10.31
20170304 140800,10.31
20170304 140900,10.32
20170304 141000,10.32
20170304 141100,10.32
20170304 141200,10.32
20170304 141300,10.32
20170304 141400,10.32
20170304 141500,10.32
20170304 141600,10.33
20170304 141700,10.33
20170304 141800,10.33
20170304 141900,10.34
20170304 142000,10.34
20170304 142100,10.34
20170304 142200,10.34
20170304 142300,10.34
20170304 142400,10.34
20170304 142500,10.34
20170304 142600,10.34
20170304 142700,10.35
20170304 142800,10.35
20170304 142900,10.36
20170304 143000,10.37
20170304 143100,10.36
20170304 143200,10.36
20170304 143300,10.37
20170304 143400,10.38
20170304 143500,10.38
20170304 143600,10.38
20170304 143700,10.39
20170304 143800,10.39
20170304 143900,10.39
20170304 144000,10.4
20170304 144100,10.41
20170304 144200,10.41
20170304 144300,10.41
20170304 144400,10.42
20170304 144500,10.41
20170304 144600,10.43
20170304 144700,10.44
20170304 144800,10.44
20170304 144900,10.45
20170304 145000,10.45
20170304 145100,10.45
20170304 145200,10.45
20170304 145300,10.45
20170304 145400,10.45
20170304 145500,10.45
20170304 145600,10.45
20170304 145700,10.45
20170304 145800,10.45
20170304 145900,10.45
20170304 150000,10.46
20170304 150100,10.45
20170304 150200,10.45
20170304 150300,10.46
20170304 150400,10.47
20170304 150500,10.48
20170304 150600,10.47
20170304 150700,10.47
20170304 150800,10.48
20170304 150900,10.46
20170304 151000,10.47
20170304 151100,10.48
20170304 151200,10.48
20170304 151300,10.48
20170304 151400,10.48
20170304 151500,10.48
20170304 151600,10.48
20170304 151700,10.48
20170304 151800,10.48
20170304 151900,10.48
20170304 152000,10.48
20170304 152100,10.48
20170304 152200,10.48
20170304 152300,10.48
20170304 152400,10.48
20170304 152500,10.49
20170304 152600,10.48
20170304 152700,10.49
20170304 152800,10.48
20170304 152900,10.48
20170304 153000,10.48
20170304 153100,10.48
20170304 153200,10.48
20170304 153300,10.49
20170304 153400,10.49
20170304 153500,10.48
20170304 153600,10.48
20170304 153700,10.48
20170304 153800,10.48
20170304 153900,10.48
20170304 154000,10.48
20170304 154100,10.47
20170304 154200,10.47
20170304 154300,10.48
20170304 154400,10.48
20170304 154500,10.49
20170304 154600,10.48
20170304 154700,10.49
20170304 154800,10.49
20170304 154900,10.48
20170304 155000,10.49
20170304 155100,10.49
20170304 155200,10.5
20170304 155300,10.48
20170304 155400,10.49
20170304 155500,10.49
20170304 155600,10.49
20170304 155700,10.49
20170304 155800,10.49
20170304 155900,10.49
20170304 160000,10.49
20170304 160100,10.49
20170304 160200,10.49
20170304 160300,10.49
20170304 160400,10.49
20170304 160500,10.49
20170304 160600,10.48
20170304 160700,10.48
20170304 160800,10.49
20170304 160900,10.49
20170304 161000,10.48
20170304 161100,10.49
20170304 161200,10.49
20170304 161300,10.48
20170304 161400,10.48
20170304 161500,10.48
20170304 161600,10.49
20170304 161700,10.48
20170304 161800,10.48
20170304 161900,10.48
20170304 162000,10.49
20170304 162100,10.48
20170304 162200,10.49
20170304 162300,10.49
20170304 162400,10.49
20170304 162500,10.49
20170304 162600,10.48
20170304 162700,10.48
20170304 162800,10.48
20170304 162900,10.48
20170304 163000,10.48
20170304 163100,10.48
20170304 163200,10.48
20170304 163300,10.48
20170304 163400,10.48
20170304 163500,10.48
20170304 163600,10.48
20170304 163700,10.48
20170304 163800,10.49
20170304 163900,10.49
20170304 164000,10.49
20170304 164100,10.49
20170304 164200,10.49
20170304 164300,10.5
20170304 164400,10.5
20170304 164500,10.52
20170304 164600,10.52
20170304 164700,10.53
20170304 164800,10.53
20170304 164900,10.53
20170304 165000,10.54
20170304 165100,10.55
20170304 165200,10.54
20170304 165300,10.54
20170304 165400,10.54
20170304 165500,10.55
20170304 165600,10.55
20170304 165700,10.55
20170304 165800,10.55
20170304 165900,10.55
20170304 170000,10.55
20170304 170100,10.55
20170304 170200,10.56
20170304 170300,10.55
20170304 170400,10.55
20170304 170500,10.56
20170304 170600,10.56
20170304 170700,10.55
20170304 170800,10.56
20170304 170900,10.55
20170304 171000,10.56
20170304 171100,10.57
20170304 171200,10.58
20170304 171300,10.58
20170304 171400,10.6
20170304 171500,10.62
20170304 171600,10.63
20170304 171700,10.64
20170304 171800,10.66
20170304 171900,10.68
20170304 172000,10.67
20170304 172100,10.71
20170304 172200,10.7
20170304 172300,10.7
20170304 172400,10.71
20170304 172500,10.76
20170304 172600,10.76
20170304 172700,10.8
20170304 172800,10.82
20170304 172900,10.85
20170304 173000,10.86
20170304 173100,10.87
20170304 173200,10.91
20170304 173300,10.92
20170304 173400,10.93
20170304 173500,10.96
20170304 173600,10.97
20170304 173700,10.98
20170304 173800,11.01
20170304 173900,11.02
20170304 174000,11.05
20170304 174100,11.04
20170304 174200,11.07
20170304 174300,11.1
20170304 174400,11.12
20170304 174500,11.14
20170304 174600,11.11
20170304 174700,11.16
20170304 174800,11.17
20170304 174900,11.22
20170304 175000,11.23
20170304 175100,11.23
20170304 175200,11.25
20170304 175300,11.3
20170304 175400,11.28
20170304 175500,11.33
20170304 175600,11.36
20170304 175700,11.38
20170304 175800,11.4
20170304 175900,11.38
20170304 180000,11.41
20170304 180100,11.45
20170304 180200,11.47
20170304 180300,11.51
20170304 180400,11.51
20170304 180500,11.53
20170304 180600,11.53
20170304 180700,11.58
20170304 180800,11.59
20170304 180900,11.65
20170304 181000,11.64
20170304 181100,11.69
20170304 181200,11.71
20170304 181300,11.72
20170304 181400,11.72
20170304 181500,11.79
20170304 181600,11.78
20170304 181700,11.81
20170304 181800,11.83
20170304 181900,11.87
20170304 182000,11.87
20170304 182100,11.89
20170304 182200,11.92
20170304 182300,11.94
20170304 182400,11.96
20170304 182500,11.98
20170304 182600,11.99
20170304 182700,12.03
20170304 182800,12.03
20170304 182900,12.06
20170304 183000,12.09
20170304 183100,12.11
20170304 183200,12.14
20170304 183300,12.16
20170304 183400,12.19
20170304 183500,12.22
20170304 183600,12.24
20170304 183700,12.26
20170304 183800,12.28
20170304 183900,12.3
20170304 184000,12.33
20170304 184100,12.34
20170304 184200,12.37
20170304 184300,12.39
20170304 184400,12.42
20170304 184500,12.43
20170304 184600,12.46
20170304 184700,12.47
20170304 184800,12.49
20170304 184900,12.5
20170304 185000,12.52
20170304 185100,12.54
20170304 185200,12.56
20170304 185300,12.58
20170304 185400,12.6
20170304 185500,12.63
20170304 185600,12.65
20170304 185700,12.68
20170304 185800,12.69
20170304 185900,12.7
20170304 190000,12.73
20170304 190100,12.76
20170304 190200,12.78
20170304 190300,12.8
20170304 190400,12.82
20170304 190500,12.85
20170304 190600,12.86
20170304 190700,12.87
20170304 190800,12.89
20170304 190900,12.91
20170304 191000,12.93
20170304 191100,12.95
20170304 191200,12.97
20170304 191300,12.99
20170304 191400,12.99
20170304 191500,13.0
20170304 191600,13.02
20170304 191700,13.02
20170304 191800,13.03
20170304 191900,13.03
20170304 192000,13.07
20170304 192100,13.1
20170304 192200,13.13
20170304 192300,13.16
20170304 192400,13.19
20170304 192500,13.21
20170304 192600,13.24
20170304 192700,13.26
20170304 192800,13.29
20170304 192900,13.32
20170304 193000,13.33
20170304 193100,13.34
20170304 193200,13.35
20170304 193300,13.38
20170304 193400,13.41
20170304 193500,13.43
20170304 193600,13.45
20170304 193700,13.47
20170304 193800,13.49
20170304 193900,13.52
20170304 194000,13.54
20170304 194100,13.55
20170304 194200,13.57
20170304 194300,13.58
20170304 194400,13.6
20170304 194500,13.63
20170304 194600,13.66
20170304 194700,13.67
20170304 194800,13.69
20170304 194900,13.7
20170304 195000,13.7
